First Name;Last Name;Customer name;Customer Email;Customer Address;Customer Phone;Region;Company;Position;Lead source;Creation date;Expected close date;Sales rep;Deal value;Comission (%);Comission ($);Status;Stage;Priority;Insert_date;update_date
Audie;Pillinger;Audie Pillinger;Audie.Pillinger@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;28/04/2023;28/05/2023;Kim Johson;25 000,00;30%;7500;Won;Invoice;Low;29/06/2023;04/05/2023
Donovan;Conry;Donovan Conry;Donovan.Conry@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;29/04/2023;29/05/2023;Caroline Lewis;500;5%;25;Won;Payment;Medium;30/06/2023;05/05/2023
Thorny;Hackworth;Thorny Hackworth;Thorny.Hackworth@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;30/04/2023;30/05/2023;Caroline Lewis;3 500,00;30%;1050;Lost;Refund;Medium;01/07/2023;06/05/2023
Rolfe;Kellard;Rolfe Kellard;Rolfe.Kellard@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;05/01/2023;04/02/2023;Caroline Lewis;10 000,00;12%;1200;On Hold;Lead qualification;High;02/07/2023;07/05/2023
Mari;Chevolleau;Mari Chevolleau;Mari.Chevolleau@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;05/02/2023;07/03/2023;Caroline Lewis;11 000,00;30%;3300;Open;Negotiation;Medium;03/07/2023;08/05/2023
Adena;Whyman;Adena Whyman;Adena.Whyman@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;05/03/2023;04/04/2023;Noah Harris;25 000,00;5%;1250;Open;Contact/Meeting;Low;04/07/2023;09/05/2023
Rutter;Excell;Rutter Excell;Rutter.Excell@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;05/04/2023;05/05/2023;Noah Harris;500;30%;150;Open;Opportunity;Medium;05/07/2023;10/05/2023
Udall;Bellard;Udall Bellard;Udall.Bellard@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;05/05/2023;04/06/2023;Noah Harris;14 000,00;12%;1680;Open;Solution;High;06/07/2023;11/05/2023
Albrecht;Thomasson;Albrecht Thomasson;Albrecht.Thomasson@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;05/06/2023;05/07/2023;Noah Harris;15 000,00;30%;4500;Open;Proposal Discussed;High;07/07/2023;12/05/2023
Beitris;;Beitris ;Beitris.@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;05/07/2023;04/08/2023;Noah Harris;25 000,00;20%;5000;Lead;Written Proposal;Medium;08/07/2023;13/05/2023
Nanice;Ellse;Nanice Ellse;Nanice.Ellse@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Email;05/08/2023;04/09/2023;John Smith;500;30%;150;Won;Contract;Low;09/07/2023;14/05/2023
Lockwood;Exroll;Lockwood Exroll;Lockwood.Exroll@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Web;05/09/2023;05/10/2023;John Smith;3 500,00;12%;420;Won;Purchase Order;Medium;10/07/2023;15/05/2023
Jeramie;Cellier;Jeramie Cellier;Jeramie.Cellier@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;05/10/2023;04/11/2023;Sarah Davis;20 000,00;30%;6000;On Hold;Invoice;High;11/07/2023;16/05/2023
Debera;Foxworthy;Debera Foxworthy;Debera.Foxworthy@gmail.com;Babylon, New York(NY), 11709;(704) 843-4352;NY;Carol Company;Adm;Paid Ads;05/11/2023;05/12/2023;Sarah Davis;12 500,00;5%;625;Won;Payment;Medium;12/07/2023;17/05/2023
Cinderella;Parcall;Cinderella Parcall;Cinderella.Parcall@gmail.com;Babylon, New York(NY), 11710;(704) 843-4353;NY;Carol Company;Adm;Paid Ads;05/12/2023;04/01/2024;Kim Johson;5 000,00;30%;1500;Lost;Refund;Low;13/07/2023;18/05/2023
Jeralee;Quartly;Jeralee Quartly;Jeralee.Quartly@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;13/05/2023;12/06/2023;John Smith;10 000,00;10%;1000;Marketing qualified lead;Lead qualification;Medium;14/07/2023;19/05/2023
Stefa;Dunnan;Stefa Dunnan;Stefa.Dunnan@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;14/05/2023;13/06/2023;John Smith;11 000,00;15%;1650;Lead;Negotiation;Low;15/07/2023;20/05/2023
Markus;Mughal;Markus Mughal;Markus.Mughal@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;15/05/2023;14/06/2023;John Smith;5 000,00;15%;750;Sales qualified lead;Contact/Meeting;Medium;16/07/2023;21/05/2023
Jeniffer;Apark;Jeniffer Apark;Jeniffer.Apark@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;16/05/2023;15/06/2023;Sarah Davis;1 000,00;12%;120;Open;Opportunity;High;17/07/2023;22/05/2023
Mara;Bloore;Mara Bloore;Mara.Bloore@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;17/05/2023;16/06/2023;Noah Harris;25 000,00;30%;7500;On Hold;Solution;Medium;18/07/2023;23/05/2023
Nev;Larive;Nev Larive;Nev.Larive@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;18/05/2023;17/06/2023;Noah Harris;500;5%;25;Won;Proposal Discussed;Low;19/07/2023;24/05/2023
Ossie;Meaton;Ossie Meaton;Ossie.Meaton@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;19/05/2023;18/06/2023;Noah Harris;3 500,00;30%;1050;Lead;Written Proposal;Medium;20/07/2023;25/05/2023
Morgun;Girvan;Morgun Girvan;Morgun.Girvan@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;20/05/2023;19/06/2023;Kim Johson;30 000,00;20%;6000;Won;Contract;High;21/07/2023;26/05/2023
Brittaney;Pring;Brittaney Pring;Brittaney.Pring@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;21/05/2023;20/06/2023;Kim Johson;10 000,00;12%;1200;Won;Purchase Order;Medium;22/07/2023;27/05/2023
Bondie;Letty;Bondie Letty;Bondie.Letty@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;22/05/2023;21/06/2023;Kim Johson;25 000,00;30%;7500;Won;Invoice;Low;23/07/2023;28/05/2023
Wendall;McKeand;Wendall McKeand;Wendall.McKeand@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;23/05/2023;22/06/2023;Caroline Lewis;500;5%;25;Won;Payment;Medium;24/07/2023;29/05/2023
Lucia;Pickervance;Lucia Pickervance;Lucia.Pickervance@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;24/05/2023;23/06/2023;Caroline Lewis;3 500,00;30%;1050;Lost;Refund;Medium;25/07/2023;30/05/2023
Vaughn;Lambis;Vaughn Lambis;Vaughn.Lambis@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;25/05/2023;24/06/2023;Caroline Lewis;10 000,00;12%;1200;On Hold;Lead qualification;High;26/07/2023;31/05/2023
Maegan;Scyone;Maegan Scyone;Maegan.Scyone@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;26/05/2023;25/06/2023;Caroline Lewis;11 000,00;30%;3300;Open;Negotiation;Medium;27/07/2023;01/06/2023
Basile;Winsor;Basile Winsor;Basile.Winsor@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;27/05/2023;26/06/2023;John Smith;10 000,00;5%;500;Open;Contact/Meeting;Low;28/07/2023;02/06/2023
Zaria;Koeppke;Zaria Koeppke;Zaria.Koeppke@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;28/05/2023;27/06/2023;John Smith;11 000,00;30%;3300;Open;Opportunity;Medium;29/07/2023;03/06/2023
Art;Barwell;Art Barwell;Art.Barwell@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;29/05/2023;28/06/2023;Sarah Davis;5 000,00;12%;600;Open;Solution;High;30/07/2023;04/06/2023
Mead;Alpes;Mead Alpes;Mead.Alpes@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;30/05/2023;29/06/2023;Sarah Davis;1 000,00;30%;300;Open;Proposal Discussed;High;31/07/2023;05/06/2023
Leona;Phateplace;Leona Phateplace;Leona.Phateplace@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;31/05/2023;30/06/2023;Sarah Davis;25 000,00;20%;5000;Lead;Written Proposal;Medium;01/08/2023;06/06/2023
Tybalt;Gillingwater;Tybalt Gillingwater;Tybalt.Gillingwater@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Paid Ads;06/01/2023;05/02/2023;Sarah Davis;500;30%;150;Won;Contract;Low;02/08/2023;07/06/2023
Reginald;Dartan;Reginald Dartan;Reginald.Dartan@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;06/02/2023;08/03/2023;Kim Johson;25 000,00;12%;3000;Won;Purchase Order;Medium;03/08/2023;08/06/2023
Max;Bilborough;Max Bilborough;Max.Bilborough@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;06/03/2023;05/04/2023;Kim Johson;30 000,00;30%;9000;On Hold;Invoice;High;04/08/2023;09/06/2023
Wells;Pressman;Wells Pressman;Wells.Pressman@gmail.com;Babylon, New York(NY), 11709;(704) 843-4352;NY;Carol Company;Adm;Paid Ads;06/04/2023;06/05/2023;Sarah Davis;10 000,00;5%;500;Won;Payment;Medium;05/08/2023;10/06/2023
Gavin;Fawks;Gavin Fawks;Gavin.Fawks@gmail.com;Babylon, New York(NY), 11710;(704) 843-4353;NY;Carol Company;Adm;Paid Ads;06/05/2023;05/06/2023;Kim Johson;25 000,00;30%;7500;Lost;Refund;Low;06/08/2023;11/06/2023
Quillan;Duigan;Quillan Duigan;Quillan.Duigan@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;06/06/2023;06/07/2023;John Smith;500;10%;50;Marketing qualified lead;Lead qualification;Medium;07/08/2023;12/06/2023
Taite;Droghan;Taite Droghan;Taite.Droghan@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;06/07/2023;05/08/2023;John Smith;3 500,00;15%;525;Lead;Negotiation;Low;08/08/2023;13/06/2023
Barbara;Croxley;Barbara Croxley;Barbara.Croxley@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;06/08/2023;05/09/2023;John Smith;10 000,00;15%;1500;Sales qualified lead;Contact/Meeting;Medium;09/08/2023;14/06/2023
Germayne;Sperry;Germayne Sperry;Germayne.Sperry@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;06/09/2023;06/10/2023;Sarah Davis;1 000,00;12%;120;Open;Opportunity;High;10/08/2023;15/06/2023
Noell;Grahlmans;Noell Grahlmans;Noell.Grahlmans@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;06/10/2023;05/11/2023;Sarah Davis;25 000,00;30%;7500;On Hold;Solution;Medium;11/08/2023;16/06/2023
Binny;Whight;Binny Whight;Binny.Whight@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;06/11/2023;06/12/2023;Sarah Davis;500;5%;25;Won;Proposal Discussed;Low;12/08/2023;17/06/2023
Kristal;Joysey;Kristal Joysey;Kristal.Joysey@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;06/12/2023;05/01/2024;Sarah Davis;25 000,00;30%;7500;Lead;Written Proposal;Medium;13/08/2023;18/06/2023
Inger;Eskell;Inger Eskell;Inger.Eskell@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;13/06/2023;13/07/2023;Kim Johson;30 000,00;20%;6000;Won;Contract;High;14/08/2023;19/06/2023
D'arcy;Slay;D'arcy Slay;D'arcy.Slay@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;14/06/2023;14/07/2023;Kim Johson;10 000,00;12%;1200;Won;Purchase Order;Medium;15/08/2023;20/06/2023
Kristofer;;Kristofer ;Kristofer.@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;15/06/2023;15/07/2023;Kim Johson;25 000,00;30%;7500;Won;Invoice;Low;16/08/2023;21/06/2023
Mala;;Mala ;Mala.@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;16/06/2023;16/07/2023;Caroline Lewis;500;5%;25;Won;Payment;Medium;17/08/2023;22/06/2023
Anthea;Ruskin;Anthea Ruskin;Anthea.Ruskin@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;17/06/2023;17/07/2023;Caroline Lewis;10 000,00;30%;3000;Lost;Refund;Medium;18/08/2023;23/06/2023
Amalee;Choak;Amalee Choak;Amalee.Choak@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;18/06/2023;18/07/2023;Caroline Lewis;11 000,00;12%;1320;On Hold;Lead qualification;High;19/08/2023;24/06/2023
Barbie;Rubi;Barbie Rubi;Barbie.Rubi@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;19/06/2023;19/07/2023;Caroline Lewis;5 000,00;30%;1500;Open;Negotiation;Medium;20/08/2023;25/06/2023
Keeley;Kruger;Keeley Kruger;Keeley.Kruger@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;20/06/2023;20/07/2023;Noah Harris;1 000,00;5%;50;Open;Contact/Meeting;Low;21/08/2023;26/06/2023
Linell;Beadle;Linell Beadle;Linell.Beadle@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;21/06/2023;21/07/2023;Noah Harris;25 000,00;30%;7500;Open;Opportunity;Medium;22/08/2023;27/06/2023
Marissa;;Marissa ;Marissa.@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;22/06/2023;22/07/2023;Noah Harris;500;12%;60;Open;Solution;High;23/08/2023;28/06/2023
Othella;Keher;Othella Keher;Othella.Keher@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;23/06/2023;23/07/2023;Noah Harris;25 000,00;30%;7500;Open;Proposal Discussed;High;24/08/2023;29/06/2023
Venita;Dymick;Venita Dymick;Venita.Dymick@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;24/06/2023;24/07/2023;Noah Harris;30 000,00;20%;6000;Lead;Written Proposal;Medium;25/08/2023;30/06/2023
Farand;Marriner;Farand Marriner;Farand.Marriner@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Paid Ads;25/06/2023;25/07/2023;John Smith;10 000,00;30%;3000;Won;Contract;Low;26/08/2023;01/07/2023
Marve;Pryn;Marve Pryn;Marve.Pryn@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;26/06/2023;26/07/2023;John Smith;25 000,00;12%;3000;Won;Purchase Order;Medium;27/08/2023;02/07/2023
Cordie;Petrelli;Cordie Petrelli;Cordie.Petrelli@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;27/06/2023;27/07/2023;Sarah Davis;500;30%;150;On Hold;Invoice;High;28/08/2023;03/07/2023
Tonia;Leigh;Tonia Leigh;Tonia.Leigh@gmail.com;Babylon, New York(NY), 11709;(704) 843-4352;NY;Carol Company;Adm;Paid Ads;28/06/2023;28/07/2023;Kim Johson;3 500,00;5%;175;Won;Payment;Medium;29/08/2023;04/07/2023
Jedd;Spiby;Jedd Spiby;Jedd.Spiby@gmail.com;Babylon, New York(NY), 11710;(704) 843-4353;NY;Carol Company;Adm;Paid Ads;29/06/2023;29/07/2023;Kim Johson;10 000,00;30%;3000;Lost;Refund;Low;30/08/2023;05/07/2023
Pennie;Stoile;Pennie Stoile;Pennie.Stoile@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;30/06/2023;30/07/2023;John Smith;1 000,00;10%;100;Marketing qualified lead;Lead qualification;Medium;31/08/2023;06/07/2023
Lelia;Garatty;Lelia Garatty;Lelia.Garatty@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;07/01/2023;06/02/2023;Kim Johson;25 000,00;15%;3750;Lead;Negotiation;Low;01/09/2023;07/07/2023
Edgar;Buckler;Edgar Buckler;Edgar.Buckler@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;07/02/2023;09/03/2023;John Smith;500;15%;75;Sales qualified lead;Contact/Meeting;Medium;02/09/2023;08/07/2023
Kacie;Kidston;Kacie Kidston;Kacie.Kidston@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;07/03/2023;06/04/2023;Kim Johson;25 000,00;12%;3000;Open;Opportunity;High;03/09/2023;09/07/2023
Zacherie;Grindley;Zacherie Grindley;Zacherie.Grindley@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;07/04/2023;07/05/2023;Sarah Davis;30 000,00;30%;9000;On Hold;Solution;Medium;04/09/2023;10/07/2023
Auberta;Roundtree;Auberta Roundtree;Auberta.Roundtree@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;07/05/2023;06/06/2023;Sarah Davis;10 000,00;5%;500;Won;Proposal Discussed;Low;05/09/2023;11/07/2023
Doll;Burtwell;Doll Burtwell;Doll.Burtwell@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;07/06/2023;07/07/2023;Kim Johson;25 000,00;30%;7500;Lead;Written Proposal;Medium;06/09/2023;12/07/2023
Arlie;Crean;Arlie Crean;Arlie.Crean@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;07/07/2023;06/08/2023;Kim Johson;500;20%;100;Won;Contract;High;07/09/2023;13/07/2023
Nevile;Abraham;Nevile Abraham;Nevile.Abraham@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;07/08/2023;06/09/2023;Noah Harris;3 500,00;12%;420;Open;Purchase Order;Medium;08/09/2023;14/07/2023
Tessi;Hesse;Tessi Hesse;Tessi.Hesse@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;07/09/2023;07/10/2023;Noah Harris;10 000,00;30%;3000;Open;Invoice;Low;09/09/2023;15/07/2023
Dud;;Dud ;Dud.@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;07/10/2023;06/11/2023;John Smith;11 000,00;5%;550;Open;Payment;Medium;10/09/2023;16/07/2023
Goldi;Dwine;Goldi Dwine;Goldi.Dwine@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;07/11/2023;07/12/2023;John Smith;5 000,00;30%;1500;Open;Refund;Medium;11/09/2023;17/07/2023
Jehanna;Alvarado;Jehanna Alvarado;Jehanna.Alvarado@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;07/12/2023;06/01/2024;John Smith;1 000,00;12%;120;On Hold;Lead qualification;High;12/09/2023;18/07/2023
Sydney;Georger;Sydney Georger;Sydney.Georger@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;13/07/2023;12/08/2023;Sarah Davis;25 000,00;30%;7500;Open;Negotiation;Medium;13/09/2023;19/07/2023
Tamera;Hinckes;Tamera Hinckes;Tamera.Hinckes@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;14/07/2023;13/08/2023;Sarah Davis;500;5%;25;Open;Contact/Meeting;Low;14/09/2023;20/07/2023
Welch;MacAllaster;Welch MacAllaster;Welch.MacAllaster@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;15/07/2023;14/08/2023;Noah Harris;25 000,00;30%;7500;Open;Opportunity;Medium;15/09/2023;21/07/2023
Jeanette;Sizzey;Jeanette Sizzey;Jeanette.Sizzey@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;16/07/2023;15/08/2023;Noah Harris;30 000,00;12%;3600;Open;Solution;High;16/09/2023;22/07/2023
Lauren;Curcher;Lauren Curcher;Lauren.Curcher@gmail.com;Babylon, New York(NY), 11704;(704) 843-4347;NY;Carol Company;Adm;Paid Ads;17/07/2023;16/08/2023;Noah Harris;10 000,00;30%;3000;Open;Proposal Discussed;High;17/09/2023;23/07/2023
Sari;Noye;Sari Noye;Sari.Noye@gmail.com;Babylon, New York(NY), 11705;(704) 843-4348;NY;Carol Company;Adm;Paid Ads;18/07/2023;17/08/2023;Noah Harris;25 000,00;20%;5000;Lead;Written Proposal;Medium;18/09/2023;24/07/2023
Seth;Moorman;Seth Moorman;Seth.Moorman@gmail.com;Babylon, New York(NY), 11706;(704) 843-4349;NY;Carol Company;Adm;Instagram;19/07/2023;18/08/2023;John Smith;500;30%;150;Won;Contract;Low;19/09/2023;25/07/2023
Julee;Janovsky;Julee Janovsky;Julee.Janovsky@gmail.com;Babylon, New York(NY), 11707;(704) 843-4350;NY;Carol Company;Adm;Paid Ads;20/07/2023;19/08/2023;John Smith;3 500,00;12%;420;Won;Purchase Order;Medium;20/09/2023;26/07/2023
Kiley;Canaan;Kiley Canaan;Kiley.Canaan@gmail.com;Babylon, New York(NY), 11708;(704) 843-4351;NY;Carol Company;Adm;Paid Ads;21/07/2023;20/08/2023;Sarah Davis;10 000,00;30%;3000;On Hold;Invoice;High;21/09/2023;27/07/2023
Hannie;Wodham;Hannie Wodham;Hannie.Wodham@gmail.com;Babylon, New York(NY), 11709;(704) 843-4352;NY;Carol Company;Adm;Paid Ads;22/07/2023;21/08/2023;Sarah Davis;12 500,00;5%;625;Won;Payment;Medium;22/09/2023;28/07/2023
Ebenezer;Seedman;Ebenezer Seedman;Ebenezer.Seedman@gmail.com;Babylon, New York(NY), 11710;(704) 843-4353;NY;Carol Company;Adm;Paid Ads;23/07/2023;22/08/2023;Kim Johson;5 000,00;30%;1500;Lost;Refund;Low;23/09/2023;29/07/2023
Modestia;Lithgow;Modestia Lithgow;Modestia.Lithgow@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;24/07/2023;23/08/2023;John Smith;10 000,00;10%;1000;Marketing qualified lead;Lead qualification;Medium;24/09/2023;30/07/2023
Giorgio;Kevane;Giorgio Kevane;Giorgio.Kevane@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;25/07/2023;24/08/2023;John Smith;11 000,00;15%;1650;Lead;Negotiation;Low;25/09/2023;31/07/2023
Aime;Burston;Aime Burston;Aime.Burston@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;26/07/2023;25/08/2023;John Smith;25 000,00;15%;3750;Sales qualified lead;Contact/Meeting;Medium;26/09/2023;01/08/2023
Gelya;Gerant;Gelya Gerant;Gelya.Gerant@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;27/07/2023;26/08/2023;Sarah Davis;10 000,00;12%;1200;Open;Opportunity;High;27/09/2023;02/08/2023
Virgilio;Willcocks;Virgilio Willcocks;Virgilio.Willcocks@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;28/07/2023;27/08/2023;Sarah Davis;12 500,00;30%;3750;On Hold;Solution;Medium;28/09/2023;03/08/2023
Magnum;Slowan;Magnum Slowan;Magnum.Slowan@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;29/07/2023;28/08/2023;Sarah Davis;5 000,00;5%;250;Won;Proposal Discussed;Low;29/09/2023;04/08/2023
Lena;Chape;Lena Chape;Lena.Chape@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;30/07/2023;29/08/2023;Sarah Davis;10 000,00;30%;3000;Lead;Written Proposal;Medium;30/09/2023;05/08/2023
Marshal;Rathbone;Marshal Rathbone;Marshal.Rathbone@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Email;31/07/2023;30/08/2023;John Smith;30 000,00;20%;6000;Won;Contract;High;01/10/2023;06/08/2023
Cecile;MacLise;Cecile MacLise;Cecile.MacLise@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;08/01/2023;07/02/2023;John Smith;10 000,00;12%;1200;Won;Purchase Order;Medium;02/10/2023;07/08/2023
Maurise;Lenglet;Maurise Lenglet;Maurise.Lenglet@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;08/02/2023;10/03/2023;John Smith;25 000,00;30%;7500;Won;Invoice;Low;03/10/2023;08/08/2023
Corabelle;Hartnell;Corabelle Hartnell;Corabelle.Hartnell@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;08/03/2023;07/04/2023;Sarah Davis;500;5%;25;Won;Payment;Medium;04/10/2023;09/08/2023
Malachi;Hadcroft;Malachi Hadcroft;Malachi.Hadcroft@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;08/04/2023;08/05/2023;Caroline Lewis;10 000,00;30%;3000;Lost;Refund;Medium;05/10/2023;10/08/2023
Hildy;Bilbrook;Hildy Bilbrook;Hildy.Bilbrook@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;08/05/2023;07/06/2023;Caroline Lewis;11 000,00;12%;1320;On Hold;Lead qualification;High;06/10/2023;11/08/2023
